Year,Profession,HourlyRate,Source,Region,Experience
2016.5,Legal Services,62.82,,,
2016.5,Legal Services,62.65,,,
2016.5,Legal Services,63.12,,,
2016.5,Legal Services,63.06,,,
2016.5,Legal Services,64.32,,,
2016.5,Marketing,29.98,,,
2016.5,Mobile Development,37.67,,,
2016.5,Mobile Development,36.23,,,
2016.5,Mobile Development,35.93,,,
2016.5,Mobile Development,37.22,,,
2016.5,Mobile Development,38.43,,,
2016.5,Mobile Development,38.16,,,
2016.5,Mobile Development,37.88,,,
2016.5,Mobile Development,39.31,,,
2016.5,Mobile Development,38.33,,,
2016.5,Mobile Development,38.91,,,
2016.5,Mobile Development,38.8,,,
2016.5,Mobile Development,39.55,,,
2016.5,Photography,26.12,,,
2016.5,Photography,25.87,,,
2016.5,Photography,26.13,,,
2016.5,Photography,26.41,,,
2016.5,Photography,26.37,,,
2016.5,Photography,25.96,,,
2016.5,Photography,26.49,,,
2016.5,Photography,27.19,,,
2016.5,Photography,27.51,,,
2016.5,Photography,27.91,,,
2016.5,Photography,26.76,,,
2016.5,Photography,27.3,,,
2016.5,Project Management,41.57,,,
2016.5,Project Management,41.85,,,
2016.5,Project Management,42.31,,,
2016.5,Project Management,41.74,,,
2016.5,Project Management,42.66,,,
2016.5,Project Management,42.12,,,
2016.5,Project Management,42.85,,,
2016.5,Project Management,43.45,,,
2016.5,Project Management,43.15,,,
2016.5,Project Management,43.91,,,
2016.5,Project Management,44.91,,,
2016.5,Project Management,44.67,,,
2016.5,SEO/SEM,25.98,,,
2016.5,SEO/SEM,26.51,,,
2016.5,SEO/SEM,26.88,,,
2016.5,SEO/SEM,27.46,,,
2016.5,SEO/SEM,26.54,,,
2016.5,SEO/SEM,26.67,,,
2016.5,SEO/SEM,27.24,,,
2016.5,SEO/SEM,27.74,,,
2016.5,SEO/SEM,27.08,,,
2016.5,SEO/SEM,28.34,,,
2016.5,SEO/SEM,28.4,,,
2016.5,SEO/SEM,28.0,,,
2016.5,Social Media Management,21.11,,,
2016.5,Social Media Management,21.01,,,
2016.5,Social Media Management,21.16,,,
2016.5,Social Media Management,21.34,,,
2016.5,Social Media Management,21.4,,,
2016.5,Social Media Management,21.08,,,
2016.5,Social Media Management,21.46,,,
2016.5,Social Media Management,21.69,,,
2016.5,Social Media Management,21.76,,,
2016.5,Social Media Management,21.54,,,
2016.5,Social Media Management,22.06,,,
2016.5,Social Media Management,22.21,,,
2016.5,Translation,22.71,,,
2016.5,Translation,23.1,,,
2016.5,Translation,22.75,,,
2016.5,Translation,22.55,,,
2016.5,Translation,22.72,,,
2016.5,Translation,23.23,,,
2016.5,Translation,23.33,,,
2016.5,Translation,23.32,,,
2016.5,Translation,23.67,,,
2016.5,Translation,23.27,,,
2016.5,Translation,23.73,,,
2016.5,Translation,23.14,,,
2016.5,UX/UI Design,34.32,,,
2016.5,Video Editing,26.7,,,
2016.5,Virtual Assistant,18.82,,,
2016.5,Voiceover,32.55,,,
2016.5,Web Development,36.51,,,
2016.5,Writing,21.4,,,
2016.58,3D Modeling,31.02,,,
2016.58,3D Modeling,32.12,,,
2016.58,3D Modeling,31.92,,,
2016.58,3D Modeling,32.36,,,
2016.58,3D Modeling,33.08,,,
2016.58,3D Modeling,32.08,,,
2016.58,3D Modeling,32.91,,,
2016.58,3D Modeling,34.2,,,
2016.58,3D Modeling,33.79,,,
2016.58,3D Modeling,33.93,,,
2016.58,3D Modeling,33.56,,,
2016.58,3D Modeling,33.87,,,
2016.58,AI/ML Development,49.84,,,
2016.58,AI/ML Development,48.89,,,
2016.58,AI/ML Development,50.42,,,
2016.58,AI/ML Development,49.19,,,
2016.58,AI/ML Development,51.21,,,
2016.58,AI/ML Development,50.4,,,
2016.58,AI/ML Development,51.45,,,
2016.58,AI/ML Development,52.09,,,
2016.58,AI/ML Development,52.25,,,
2016.58,AI/ML Development,50.82,,,
2016.58,AI/ML Development,52.12,,,
2016.58,AI/ML Development,54.84,,,
2016.58,Accounting,35.77,,,
2016.58,Accounting,37.49,,,
2016.58,Accounting,36.65,,,
2016.58,Accounting,36.03,,,
2016.58,Accounting,37.24,,,
2016.58,Accounting,37.14,,,
2016.58,Accounting,36.63,,,
2016.58,Accounting,36.52,,,
2016.58,Accounting,37.75,,,
2016.58,Accounting,37.63,,,
2016.58,Accounting,37.44,,,
2016.58,Accounting,38.17,,,
2016.58,Audio Production,28.67,,,
2016.58,Audio Production,29.85,,,
2016.58,Audio Production,30.78,,,
2016.58,Audio Production,29.44,,,
2016.58,Audio Production,30.16,,,
2016.58,Audio Production,30.5,,,
2016.58,Audio Production,30.29,,,
2016.58,Audio Production,29.47,,,
2016.58,Audio Production,30.87,,,
2016.58,Audio Production,31.45,,,
2016.58,Audio Production,31.14,,,
2016.58,Audio Production,30.92,,,
2016.58,Blockchain Development,61.6,,,
2016.58,Blockchain Development,60.02,,,
2016.58,Blockchain Development,63.73,,,
2016.58,Blockchain Development,61.52,,,
2016.58,Blockchain Development,61.75,,,
2016.58,Blockchain Development,62.26,,,
2016.58,Blockchain Development,66.85,,,
2016.58,Blockchain Development,66.28,,,
2016.58,Blockchain Development,66.82,,,
2016.58,Blockchain Development,67.1,,,
2016.58,Blockchain Development,64.0,,,
2016.58,Blockchain Development,70.85,,,
2016.58,Content Creation,18.81,,,
2016.58,Content Creation,19.28,,,
2016.58,Content Creation,18.94,,,
2016.58,Content Creation,18.87,,,
2016.58,Content Creation,19.33,,,
2016.58,Content Creation,19.25,,,
2016.58,Content Creation,19.75,,,
2016.58,Content Creation,19.43,,,
2016.58,Content Creation,19.7,,,
2016.58,Content Creation,19.62,,,
2016.58,Content Creation,19.94,,,
2016.58,Content Creation,19.61,,,
2016.58,Cybersecurity,54.73,,,
2016.58,Cybersecurity,55.36,,,
2016.58,Cybersecurity,55.65,,,
2016.58,Cybersecurity,56.09,,,
2016.58,Cybersecurity,56.13,,,
2016.58,Cybersecurity,54.07,,,
2016.58,Cybersecurity,56.15,,,
2016.58,Cybersecurity,56.71,,,
2016.58,Cybersecurity,58.23,,,
2016.58,Cybersecurity,57.03,,,
2016.58,Cybersecurity,59.41,,,
2016.58,Cybersecurity,58.8,,,
2016.58,Data Analysis,30.7,,,
2016.58,DevOps Engineering,41.63,,,
2016.58,DevOps Engineering,43.37,,,
2016.58,DevOps Engineering,43.04,,,
2016.58,DevOps Engineering,44.51,,,
2016.58,DevOps Engineering,45.7,,,
2016.58,DevOps Engineering,44.78,,,
2016.58,DevOps Engineering,44.93,,,
2016.58,DevOps Engineering,45.81,,,
2016.58,DevOps Engineering,43.9,,,
2016.58,DevOps Engineering,45.58,,,
2016.58,DevOps Engineering,45.11,,,
2016.58,DevOps Engineering,46.87,,,
2016.58,Graphic Design,25.1,,,
2016.58,Legal Services,61.06,,,
2016.58,Legal Services,60.55,,,
2016.58,Legal Services,62.16,,,
2016.58,Legal Services,62.41,,,
2016.58,Legal Services,62.0,,,
2016.58,Legal Services,62.59,,,
2016.58,Legal Services,63.15,,,
2016.58,Legal Services,62.98,,,
2016.58,Legal Services,63.63,,,
2016.58,Legal Services,63.56,,,
2016.58,Legal Services,62.99,,,
2016.58,Legal Services,64.69,,,
2016.58,Marketing,30.42,,,
2016.58,Mobile Development,36.83,,,
2016.58,Mobile Development,37.64,,,
2016.58,Mobile Development,36.98,,,
2016.58,Mobile Development,37.12,,,
2016.58,Mobile Development,38.84,,,
2016.58,Mobile Development,37.53,,,
2016.58,Mobile Development,38.24,,,
2016.58,Mobile Development,38.2,,,
2016.58,Mobile Development,38.44,,,
2016.58,Mobile Development,37.95,,,
2016.58,Mobile Development,38.4,,,
2016.58,Mobile Development,39.59,,,
2016.58,Photography,25.28,,,
2016.58,Photography,26.07,,,
2016.58,Photography,26.23,,,
2016.58,Photography,26.64,,,
2016.58,Photography,27.09,,,
2016.58,Photography,26.53,,,
2016.58,Photography,26.89,,,
2016.58,Photography,26.82,,,
2016.58,Photography,26.67,,,
2016.58,Photography,27.55,,,
2016.58,Photography,27.27,,,
2016.58,Photography,27.9,,,
2016.58,Project Management,42.32,,,
2016.58,Project Management,43.2,,,
2016.58,Project Management,41.95,,,
2016.58,Project Management,42.04,,,
2016.58,Project Management,43.22,,,
2016.58,Project Management,41.66,,,
2016.58,Project Management,43.72,,,
2016.58,Project Management,43.53,,,
2016.58,Project Management,43.99,,,
2016.58,Project Management,44.53,,,
2016.58,Project Management,45.13,,,
2016.58,Project Management,44.26,,,
2016.58,SEO/SEM,26.94,,,
2016.58,SEO/SEM,26.31,,,
2016.58,SEO/SEM,26.7,,,
2016.58,SEO/SEM,27.32,,,
2016.58,SEO/SEM,26.98,,,
2016.58,SEO/SEM,27.06,,,
2016.58,SEO/SEM,28.35,,,
2016.58,SEO/SEM,27.53,,,
2016.58,SEO/SEM,27.84,,,
2016.58,SEO/SEM,28.29,,,
2016.58,SEO/SEM,28.15,,,
2016.58,SEO/SEM,28.71,,,
2016.58,Social Media Management,20.36,,,
2016.58,Social Media Management,21.18,,,
2016.58,Social Media Management,21.68,,,
2016.58,Social Media Management,21.09,,,
2016.58,Social Media Management,21.29,,,
2016.58,Social Media Management,21.7,,,
2016.58,Social Media Management,21.7,,,
2016.58,Social Media Management,21.67,,,
2016.58,Social Media Management,22.16,,,
2016.58,Social Media Management,21.54,,,
2016.58,Social Media Management,22.18,,,
2016.58,Social Media Management,22.48,,,
2016.58,Translation,23.02,,,
2016.58,Translation,22.68,,,
2016.58,Translation,23.2,,,
2016.58,Translation,23.3,,,
2016.58,Translation,23.18,,,
2016.58,Translation,23.65,,,
2016.58,Translation,22.93,,,
2016.58,Translation,24.08,,,
2016.58,Translation,24.11,,,
2016.58,Translation,23.47,,,
2016.58,Translation,24.05,,,
2016.58,Translation,23.69,,,
2016.58,UX/UI Design,34.26,,,
2016.58,Video Editing,27.11,,,
2016.58,Virtual Assistant,18.55,,,
2016.58,Voiceover,32.75,,,
2016.58,Web Development,36.82,,,
2016.58,Writing,21.68,,,
2016.67,3D Modeling,32.69,,,
2016.67,3D Modeling,32.12,,,
2016.67,3D Modeling,32.27,,,
2016.67,3D Modeling,33.48,,,
2016.67,3D Modeling,32.96,,,
2016.67,3D Modeling,32.93,,,
2016.67,3D Modeling,33.56,,,
2016.67,3D Modeling,34.12,,,
2016.67,3D Modeling,34.75,,,
2016.67,3D Modeling,34.24,,,
2016.67,3D Modeling,34.23,,,
2016.67,3D Modeling,35.8,,,
2016.67,AI/ML Development,49.33,,,
2016.67,AI/ML Development,47.94,,,
2016.67,AI/ML Development,51.82,,,
2016.67,AI/ML Development,49.82,,,
2016.67,AI/ML Development,51.33,,,
2016.67,AI/ML Development,51.71,,,
2016.67,AI/ML Development,52.13,,,
2016.67,AI/ML Development,52.76,,,
2016.67,AI/ML Development,53.56,,,
2016.67,AI/ML Development,53.51,,,
2016.67,AI/ML Development,54.39,,,
2016.67,AI/ML Development,55.22,,,
2016.67,Accounting,36.63,,,
2016.67,Accounting,36.45,,,
2016.67,Accounting,35.58,,,
2016.67,Accounting,36.67,,,
2016.67,Accounting,37.09,,,
2016.67,Accounting,37.91,,,
2016.67,Accounting,37.05,,,
2016.67,Accounting,37.59,,,
2016.67,Accounting,37.52,,,
2016.67,Accounting,37.58,,,
2016.67,Accounting,38.41,,,
2016.67,Accounting,38.78,,,
2016.67,Audio Production,29.23,,,
2016.67,Audio Production,29.55,,,
2016.67,Audio Production,29.7,,,
2016.67,Audio Production,30.99,,,
2016.67,Audio Production,29.85,,,
2016.67,Audio Production,30.73,,,
2016.67,Audio Production,31.02,,,
2016.67,Audio Production,31.45,,,
2016.67,Audio Production,30.66,,,
2016.67,Audio Production,30.71,,,
2016.67,Audio Production,30.62,,,
2016.67,Audio Production,32.19,,,
2016.67,Blockchain Development,58.93,,,
2016.67,Blockchain Development,61.78,,,
2016.67,Blockchain Development,63.96,,,
2016.67,Blockchain Development,62.0,,,
2016.67,Blockchain Development,63.29,,,
2016.67,Blockchain Development,64.05,,,
2016.67,Blockchain Development,64.05,,,
2016.67,Blockchain Development,65.49,,,
2016.67,Blockchain Development,64.61,,,
2016.67,Blockchain Development,65.75,,,
2016.67,Blockchain Development,66.79,,,
2016.67,Blockchain Development,67.41,,,
2016.67,Content Creation,18.94,,,
2016.67,Content Creation,18.78,,,
2016.67,Content Creation,19.13,,,
2016.67,Content Creation,19.15,,,
2016.67,Content Creation,18.94,,,
2016.67,Content Creation,19.19,,,
2016.67,Content Creation,19.42,,,
2016.67,Content Creation,19.48,,,
2016.67,Content Creation,19.52,,,
2016.67,Content Creation,19.25,,,
2016.67,Content Creation,20.21,,,
2016.67,Content Creation,20.37,,,
2016.67,Cybersecurity,54.03,,,
2016.67,Cybersecurity,53.36,,,
2016.67,Cybersecurity,56.61,,,
2016.67,Cybersecurity,53.96,,,
2016.67,Cybersecurity,56.56,,,
2016.67,Cybersecurity,54.47,,,
2016.67,Cybersecurity,58.32,,,
2016.67,Cybersecurity,54.92,,,
2016.67,Cybersecurity,57.63,,,
2016.67,Cybersecurity,58.89,,,
2016.67,Cybersecurity,60.65,,,
2016.67,Cybersecurity,62.22,,,
2016.67,Data Analysis,30.63,,,
2016.67,DevOps Engineering,42.69,,,
2016.67,DevOps Engineering,42.53,,,
2016.67,DevOps Engineering,44.06,,,
2016.67,DevOps Engineering,43.73,,,
2016.67,DevOps Engineering,45.33,,,
2016.67,DevOps Engineering,44.76,,,
2016.67,DevOps Engineering,45.5,,,
2016.67,DevOps Engineering,46.07,,,
2016.67,DevOps Engineering,45.68,,,
2016.67,DevOps Engineering,46.37,,,
2016.67,DevOps Engineering,47.09,,,
2016.67,DevOps Engineering,48.75,,,
2016.67,Graphic Design,25.2,,,
2016.67,Legal Services,61.98,,,
2016.67,Legal Services,62.31,,,
2016.67,Legal Services,62.53,,,
2016.67,Legal Services,62.15,,,
2016.67,Legal Services,62.82,,,
2016.67,Legal Services,63.0,,,
2016.67,Legal Services,64.17,,,
2016.67,Legal Services,64.22,,,
2016.67,Legal Services,63.18,,,
2016.67,Legal Services,64.2,,,
2016.67,Legal Services,64.23,,,
2016.67,Legal Services,64.65,,,
2016.67,Marketing,30.86,,,
2016.67,Mobile Development,36.81,,,
2016.67,Mobile Development,37.4,,,
2016.67,Mobile Development,39.35,,,
2016.67,Mobile Development,37.14,,,
2016.67,Mobile Development,37.2,,,
2016.67,Mobile Development,38.52,,,
2016.67,Mobile Development,38.32,,,
2016.67,Mobile Development,38.8,,,
2016.67,Mobile Development,39.49,,,
2016.67,Mobile Development,39.64,,,
2016.67,Mobile Development,39.35,,,
2016.67,Mobile Development,40.15,,,
2016.67,Photography,25.81,,,
2016.67,Photography,25.99,,,
2016.67,Photography,26.25,,,
2016.67,Photography,26.78,,,
2016.67,Photography,26.58,,,
2016.67,Photography,26.85,,,
2016.67,Photography,26.96,,,
2016.67,Photography,27.38,,,
2016.67,Photography,27.38,,,
2016.67,Photography,28.25,,,
2016.67,Photography,27.56,,,
2016.67,Photography,27.32,,,
2016.67,Project Management,42.39,,,
2016.67,Project Management,42.84,,,
2016.67,Project Management,42.38,,,
2016.67,Project Management,42.79,,,
2016.67,Project Management,41.83,,,
2016.67,Project Management,43.55,,,
2016.67,Project Management,42.85,,,
2016.67,Project Management,43.1,,,
2016.67,Project Management,43.98,,,
2016.67,Project Management,42.94,,,
2016.67,Project Management,44.08,,,
2016.67,Project Management,45.47,,,
2016.67,SEO/SEM,26.79,,,
2016.67,SEO/SEM,26.79,,,
2016.67,SEO/SEM,27.52,,,
2016.67,SEO/SEM,26.54,,,
2016.67,SEO/SEM,26.96,,,
2016.67,SEO/SEM,27.57,,,
2016.67,SEO/SEM,27.52,,,
2016.67,SEO/SEM,28.23,,,
2016.67,SEO/SEM,28.96,,,
2016.67,SEO/SEM,27.36,,,
2016.67,SEO/SEM,29.22,,,
2016.67,SEO/SEM,28.76,,,
2016.67,Social Media Management,20.69,,,
2016.67,Social Media Management,21.18,,,
2016.67,Social Media Management,21.75,,,
2016.67,Social Media Management,21.49,,,
2016.67,Social Media Management,21.89,,,
2016.67,Social Media Management,21.97,,,
2016.67,Social Media Management,21.75,,,
2016.67,Social Media Management,22.21,,,
2016.67,Social Media Management,22.08,,,
2016.67,Social Media Management,22.47,,,
2016.67,Social Media Management,22.04,,,
2016.67,Social Media Management,22.31,,,
2016.67,Translation,23.08,,,
2016.67,Translation,22.74,,,
2016.67,Translation,22.78,,,
2016.67,Translation,23.08,,,
2016.67,Translation,23.13,,,
2016.67,Translation,23.67,,,
2016.67,Translation,22.95,,,
2016.67,Translation,23.88,,,
2016.67,Translation,23.33,,,
2016.67,Translation,23.62,,,
2016.67,Translation,23.55,,,
2016.67,Translation,23.73,,,
2016.67,UX/UI Design,34.2,,,
2016.67,Video Editing,27.52,,,
2016.67,Virtual Assistant,18.27,,,
2016.67,Voiceover,32.95,,,
2016.67,Web Development,37.13,,,
2016.67,Writing,21.97,,,
2016.75,3D Modeling,31.61,,,
2016.75,3D Modeling,32.35,,,
2016.75,3D Modeling,33.7,,,
2016.75,3D Modeling,32.92,,,
2016.75,3D Modeling,32.71,,,
2016.75,3D Modeling,34.47,,,
2016.75,3D Modeling,34.23,,,
2016.75,3D Modeling,33.71,,,
2016.75,3D Modeling,34.65,,,
2016.75,3D Modeling,33.89,,,
2016.75,3D Modeling,34.85,,,
2016.75,3D Modeling,35.65,,,
2016.75,AI/ML Development,49.54,,,
2016.75,AI/ML Development,50.15,,,
2016.75,AI/ML Development,51.61,,,
2016.75,AI/ML Development,50.04,,,
2016.75,AI/ML Development,49.71,,,
2016.75,AI/ML Development,53.07,,,
2016.75,AI/ML Development,52.82,,,
2016.75,AI/ML Development,52.59,,,
2016.75,AI/ML Development,53.23,,,
2016.75,AI/ML Development,54.56,,,
2016.75,AI/ML Development,54.8,,,
2016.75,AI/ML Development,55.77,,,
2016.75,Accounting,36.04,,,
2016.75,Accounting,36.76,,,
2016.75,Accounting,36.21,,,
2016.75,Accounting,36.62,,,
2016.75,Accounting,36.95,,,
2016.75,Accounting,37.29,,,
2016.75,Accounting,37.91,,,
2016.75,Accounting,37.63,,,
2016.75,Accounting,38.28,,,
2016.75,Accounting,38.16,,,
2016.75,Accounting,38.01,,,
2016.75,Accounting,38.29,,,
2016.75,Audio Production,29.71,,,
2016.75,Audio Production,29.21,,,
2016.75,Audio Production,29.87,,,
2016.75,Audio Production,31.11,,,
2016.75,Audio Production,30.83,,,
2016.75,Audio Production,30.56,,,
2016.75,Audio Production,30.34,,,
2016.75,Audio Production,30.98,,,
2016.75,Audio Production,30.58,,,
2016.75,Audio Production,31.2,,,
2016.75,Audio Production,31.37,,,
2016.75,Audio Production,31.35,,,
2016.75,Blockchain Development,62.65,,,
2016.75,Blockchain Development,61.94,,,
2016.75,Blockchain Development,65.23,,,
2016.75,Blockchain Development,62.91,,,
2016.75,Blockchain Development,62.1,,,
2016.75,Blockchain Development,65.97,,,
2016.75,Blockchain Development,65.64,,,
2016.75,Blockchain Development,63.49,,,
2016.75,Blockchain Development,67.94,,,
2016.75,Blockchain Development,68.66,,,
2016.75,Blockchain Development,68.54,,,
2016.75,Blockchain Development,70.32,,,
2016.75,Content Creation,18.92,,,
2016.75,Content Creation,18.94,,,
2016.75,Content Creation,19.14,,,
2016.75,Content Creation,19.62,,,
2016.75,Content Creation,19.27,,,
2016.75,Content Creation,19.33,,,
2016.75,Content Creation,19.53,,,
2016.75,Content Creation,19.98,,,
2016.75,Content Creation,19.84,,,
2016.75,Content Creation,19.75,,,
2016.75,Content Creation,19.59,,,
2016.75,Content Creation,19.95,,,
2016.75,Cybersecurity,56.06,,,
2016.75,Cybersecurity,54.34,,,
2016.75,Cybersecurity,55.38,,,
2016.75,Cybersecurity,56.36,,,
2016.75,Cybersecurity,57.62,,,
2016.75,Cybersecurity,59.2,,,
2016.75,Cybersecurity,59.02,,,
2016.75,Cybersecurity,57.82,,,
2016.75,Cybersecurity,59.6,,,
2016.75,Cybersecurity,58.47,,,
2016.75,Cybersecurity,59.77,,,
2016.75,Cybersecurity,59.31,,,
2016.75,Data Analysis,30.57,,,
2016.75,DevOps Engineering,43.89,,,
2016.75,DevOps Engineering,43.17,,,
2016.75,DevOps Engineering,43.97,,,
2016.75,DevOps Engineering,44.31,,,
2016.75,DevOps Engineering,44.98,,,
2016.75,DevOps Engineering,45.86,,,
2016.75,DevOps Engineering,44.9,,,
2016.75,DevOps Engineering,47.08,,,
2016.75,DevOps Engineering,47.57,,,
2016.75,DevOps Engineering,46.07,,,
2016.75,DevOps Engineering,46.53,,,
2016.75,DevOps Engineering,46.63,,,
2016.75,Graphic Design,25.3,,,
2016.75,Legal Services,61.96,,,
2016.75,Legal Services,62.0,,,
2016.75,Legal Services,62.08,,,
2016.75,Legal Services,62.93,,,
2016.75,Legal Services,62.89,,,
2016.75,Legal Services,62.99,,,
2016.75,Legal Services,63.45,,,
2016.75,Legal Services,63.34,,,
2016.75,Legal Services,63.47,,,
2016.75,Legal Services,63.47,,,
2016.75,Legal Services,64.0,,,
2016.75,Legal Services,64.99,,,
2016.75,Marketing,31.3,,,
2016.75,Mobile Development,38.23,,,
2016.75,Mobile Development,37.18,,,
2016.75,Mobile Development,37.79,,,
2016.75,Mobile Development,38.0,,,
2016.75,Mobile Development,38.69,,,
2016.75,Mobile Development,39.02,,,
2016.75,Mobile Development,38.1,,,
2016.75,Mobile Development,38.88,,,
2016.75,Mobile Development,39.53,,,
2016.75,Mobile Development,38.97,,,
2016.75,Mobile Development,39.62,,,
2016.75,Mobile Development,40.39,,,
2016.75,Photography,26.52,,,
2016.75,Photography,25.95,,,
2016.75,Photography,26.41,,,
2016.75,Photography,26.84,,,
2016.75,Photography,26.94,,,
2016.75,Photography,27.16,,,
2016.75,Photography,26.94,,,
2016.75,Photography,27.25,,,
2016.75,Photography,27.66,,,
2016.75,Photography,27.35,,,
2016.75,Photography,27.58,,,
2016.75,Photography,27.47,,,
2016.75,Project Management,41.96,,,
2016.75,Project Management,43.51,,,
2016.75,Project Management,41.93,,,
2016.75,Project Management,42.92,,,
2016.75,Project Management,43.64,,,
2016.75,Project Management,43.74,,,
2016.75,Project Management,43.38,,,
2016.75,Project Management,44.88,,,
2016.75,Project Management,44.42,,,
2016.75,Project Management,44.13,,,
2016.75,Project Management,44.32,,,
2016.75,Project Management,45.97,,,
2016.75,SEO/SEM,25.98,,,
2016.75,SEO/SEM,27.19,,,
2016.75,SEO/SEM,27.45,,,
2016.75,SEO/SEM,27.35,,,
2016.75,SEO/SEM,27.07,,,
2016.75,SEO/SEM,27.01,,,
2016.75,SEO/SEM,27.34,,,
2016.75,SEO/SEM,28.49,,,
2016.75,SEO/SEM,27.53,,,
2016.75,SEO/SEM,27.83,,,
2016.75,SEO/SEM,28.65,,,
2016.75,SEO/SEM,29.27,,,
2016.75,Social Media Management,21.13,,,
2016.75,Social Media Management,21.57,,,
2016.75,Social Media Management,21.29,,,
2016.75,Social Media Management,21.91,,,
2016.75,Social Media Management,21.16,,,
2016.75,Social Media Management,21.43,,,
2016.75,Social Media Management,22.38,,,
2016.75,Social Media Management,21.95,,,
2016.75,Social Media Management,22.51,,,
2016.75,Social Media Management,22.52,,,
2016.75,Social Media Management,22.62,,,
2016.75,Social Media Management,22.49,,,
2016.75,Translation,22.95,,,
2016.75,Translation,23.15,,,
2016.75,Translation,22.87,,,
2016.75,Translation,23.48,,,
2016.75,Translation,23.46,,,
2016.75,Translation,23.38,,,
2016.75,Translation,23.87,,,
2016.75,Translation,23.43,,,
2016.75,Translation,23.61,,,
2016.75,Translation,23.99,,,
2016.75,Translation,24.25,,,
2016.75,Translation,23.85,,,
2016.75,UX/UI Design,34.14,,,
2016.75,Video Editing,27.94,,,
2016.75,Virtual Assistant,17.99,,,
2016.75,Voiceover,33.16,,,
2016.75,Web Development,37.44,,,
2016.75,Writing,22.25,,,
2016.83,3D Modeling,32.16,,,
2016.83,3D Modeling,31.91,,,
2016.83,3D Modeling,32.77,,,
2016.83,3D Modeling,33.34,,,
2016.83,3D Modeling,33.03,,,
2016.83,3D Modeling,33.6,,,
2016.83,3D Modeling,34.04,,,
2016.83,3D Modeling,34.37,,,
2016.83,3D Modeling,34.71,,,
2016.83,3D Modeling,34.61,,,
2016.83,3D Modeling,35.06,,,
2016.83,3D Modeling,35.2,,,
2016.83,AI/ML Development,51.25,,,
2016.83,AI/ML Development,51.76,,,
2016.83,AI/ML Development,49.76,,,
2016.83,AI/ML Development,51.02,,,
2016.83,AI/ML Development,50.78,,,
2016.83,AI/ML Development,54.06,,,
2016.83,AI/ML Development,52.49,,,
2016.83,AI/ML Development,55.26,,,
2016.83,AI/ML Development,54.08,,,
2016.83,AI/ML Development,54.1,,,
2016.83,AI/ML Development,52.98,,,
2016.83,AI/ML Development,54.65,,,
2016.83,Accounting,36.86,,,
2016.83,Accounting,36.67,,,
2016.83,Accounting,37.72,,,
2016.83,Accounting,37.17,,,
2016.83,Accounting,37.47,,,
2016.83,Accounting,37.42,,,
2016.83,Accounting,37.8,,,
2016.83,Accounting,38.34,,,
2016.83,Accounting,36.85,,,
2016.83,Accounting,37.31,,,
2016.83,Accounting,39.03,,,
2016.83,Accounting,38.52,,,
2016.83,Audio Production,30.18,,,
2016.83,Audio Production,30.02,,,
2016.83,Audio Production,30.47,,,
2016.83,Audio Production,30.24,,,
2016.83,Audio Production,30.8,,,
2016.83,Audio Production,29.82,,,
2016.83,Audio Production,30.21,,,
2016.83,Audio Production,31.92,,,
2016.83,Audio Production,31.17,,,
2016.83,Audio Production,31.23,,,
2016.83,Audio Production,31.51,,,
2016.83,Audio Production,31.65,,,
2016.83,Blockchain Development,59.53,,,
2016.83,Blockchain Development,62.62,,,
2016.83,Blockchain Development,65.72,,,
2016.83,Blockchain Development,63.35,,,
2016.83,Blockchain Development,68.23,,,
2016.83,Blockchain Development,65.62,,,
2016.83,Blockchain Development,65.86,,,
2016.83,Blockchain Development,65.18,,,
2016.83,Blockchain Development,68.61,,,
2016.83,Blockchain Development,68.86,,,
2016.83,Blockchain Development,66.57,,,
2016.83,Blockchain Development,69.44,,,
2016.83,Content Creation,18.72,,,
2016.83,Content Creation,18.89,,,
2016.83,Content Creation,19.0,,,
2016.83,Content Creation,19.22,,,
2016.83,Content Creation,19.28,,,
2016.83,Content Creation,19.83,,,
2016.83,Content Creation,19.32,,,
2016.83,Content Creation,19.35,,,
2016.83,Content Creation,19.63,,,
2016.83,Content Creation,19.65,,,
2016.83,Content Creation,20.05,,,
2016.83,Content Creation,20.14,,,
2016.83,Cybersecurity,53.82,,,
2016.83,Cybersecurity,56.93,,,
2016.83,Cybersecurity,56.79,,,
2016.83,Cybersecurity,57.11,,,
2016.83,Cybersecurity,56.03,,,
2016.83,Cybersecurity,60.71,,,
2016.83,Cybersecurity,60.52,,,
2016.83,Cybersecurity,61.26,,,
2016.83,Cybersecurity,59.01,,,
2016.83,Cybersecurity,60.23,,,
2016.83,Cybersecurity,59.91,,,
2016.83,Cybersecurity,61.32,,,
2016.83,Data Analysis,30.51,,,
2016.83,DevOps Engineering,44.4,,,
2016.83,DevOps Engineering,44.82,,,
2016.83,DevOps Engineering,43.14,,,
2016.83,DevOps Engineering,46.08,,,
2016.83,DevOps Engineering,46.39,,,
2016.83,DevOps Engineering,45.35,,,
2016.83,DevOps Engineering,45.84,,,
2016.83,DevOps Engineering,46.38,,,
2016.83,DevOps Engineering,45.99,,,
2016.83,DevOps Engineering,47.07,,,
2016.83,DevOps Engineering,48.5,,,
2016.83,DevOps Engineering,48.37,,,
2016.83,Graphic Design,25.4,,,
2016.83,Legal Services,62.84,,,
2016.83,Legal Services,63.15,,,
2016.83,Legal Services,63.28,,,
2016.83,Legal Services,63.09,,,
2016.83,Legal Services,63.39,,,
