Year,Profession,HourlyRate
2023.42,Video Editing,31.41
2023.42,Voiceover,34.46
2023.42,Web Development,44.65
2023.42,Marketing,34.83
2023.42,Virtual Assistant,27.49
2023.42,Data Analysis,37.46
2023.42,UX/UI Design,40.13
2023.5,Graphic Design,32.64
2023.5,Writing,30.96
2023.5,Video Editing,31.74
2023.5,Voiceover,34.17
2023.5,Web Development,44.7
2023.5,Marketing,35.61
2023.5,Virtual Assistant,27.23
2023.5,Data Analysis,37.6
2023.5,UX/UI Design,40.15
2023.58,Graphic Design,33.3
2023.58,Writing,31.56
2023.58,Video Editing,32.08
2023.58,Voiceover,33.88
2023.58,Web Development,44.76
2023.58,Marketing,36.39
2023.58,Virtual Assistant,26.97
2023.58,Data Analysis,37.73
2023.58,UX/UI Design,40.17
2023.67,Graphic Design,33.95
2023.67,Writing,32.17
2023.67,Video Editing,32.41
2023.67,Voiceover,33.6
2023.67,Web Development,44.81
2023.67,Marketing,37.16
2023.67,Virtual Assistant,26.72
2023.67,Data Analysis,37.87
2023.67,UX/UI Design,40.19
2023.75,Graphic Design,34.6
2023.75,Writing,32.77
2023.75,Video Editing,32.75
2023.75,Voiceover,33.32
2023.75,Web Development,44.86
2023.75,Marketing,37.94
2023.75,Virtual Assistant,26.46
2023.75,Data Analysis,38.0
2023.75,UX/UI Design,40.22
2023.83,Graphic Design,35.25
2023.83,Writing,33.37
2023.83,Video Editing,33.08
2023.83,Voiceover,33.03
2023.83,Web Development,44.92
2023.83,Marketing,38.72
2023.83,Virtual Assistant,26.2
2023.83,Data Analysis,38.14
2023.83,UX/UI Design,40.24
2023.92,Graphic Design,35.9
2023.92,Writing,33.98
2023.92,Video Editing,33.42
2023.92,Voiceover,32.75
2023.92,Web Development,44.97
2023.92,Marketing,39.49
2023.92,Virtual Assistant,25.95
2023.92,Data Analysis,38.27
2023.92,UX/UI Design,40.26
2024.0,Graphic Design,36.55
2024.0,Writing,34.58
2024.0,Video Editing,33.75
2024.0,Voiceover,32.46
2024.0,Web Development,45.02
2024.0,Marketing,40.27
2024.0,Virtual Assistant,25.69
2024.0,Data Analysis,38.41
2024.0,UX/UI Design,40.28
2024.08,Graphic Design,36.12
2024.08,Writing,34.16
2024.08,Video Editing,33.85
2024.08,Voiceover,32.71
2024.08,Web Development,45.0
2024.08,Marketing,40.58
2024.08,Virtual Assistant,25.87
2024.08,Data Analysis,38.62
2024.08,UX/UI Design,40.54
2024.17,Graphic Design,35.68
2024.17,Writing,33.73
2024.17,Video Editing,33.96
2024.17,Voiceover,32.96
2024.17,Web Development,44.98
2024.17,Marketing,40.9
2024.17,Virtual Assistant,26.05
2024.17,Data Analysis,38.84
2024.17,UX/UI Design,40.8
2024.25,Graphic Design,35.25
2024.25,Writing,33.31
2024.25,Video Editing,34.06
2024.25,Voiceover,33.21
2024.25,Web Development,44.96
2024.25,Marketing,41.21
2024.25,Virtual Assistant,26.23
2024.25,Data Analysis,39.05
2024.25,UX/UI Design,41.06
2024.33,Graphic Design,34.82
2024.33,Writing,32.88
2024.33,Video Editing,34.16
2024.33,Voiceover,33.46
2024.33,Web Development,44.94
2024.33,Marketing,41.52
2024.33,Virtual Assistant,26.41
2024.33,Data Analysis,39.26
2024.33,UX/UI Design,41.32
2024.42,Graphic Design,34.39
2024.42,Writing,32.46
2024.42,Video Editing,34.27
2024.42,Voiceover,33.71
2024.42,Web Development,44.92
2024.42,Marketing,41.84
2024.42,Virtual Assistant,26.59
2024.42,Data Analysis,39.48
2024.42,UX/UI Design,41.58
2024.5,Graphic Design,33.96
2024.5,Writing,32.03
2024.5,Video Editing,34.37
2024.5,Voiceover,33.96
2024.5,Web Development,44.9
2024.5,Marketing,42.15
2024.5,Virtual Assistant,26.76
2024.5,Data Analysis,39.69
2024.5,UX/UI Design,41.84
2024.58,Graphic Design,33.52
2024.58,Writing,31.61
2024.58,Video Editing,34.47
2024.58,Voiceover,34.21
2024.58,Web Development,44.89
2024.58,Marketing,42.46
2024.58,Virtual Assistant,26.94
2024.58,Data Analysis,39.9
2024.58,UX/UI Design,42.11
2024.67,Graphic Design,33.09
2024.67,Writing,31.19
2024.67,Video Editing,34.58
2024.67,Voiceover,34.46
2024.67,Web Development,44.87
2024.67,Marketing,42.78
2024.67,Virtual Assistant,27.12
2024.67,Data Analysis,40.12
2024.67,UX/UI Design,42.37
2024.75,Graphic Design,32.66
2024.75,Writing,30.76
2024.75,Video Editing,34.68
2024.75,Voiceover,34.71
2024.75,Web Development,44.85
2024.75,Marketing,43.09
2024.75,Virtual Assistant,27.3
2024.75,Data Analysis,40.33
2024.75,UX/UI Design,42.63
2024.83,Graphic Design,32.22
2024.83,Writing,30.34
2024.83,Video Editing,34.78
2024.83,Voiceover,34.96
2024.83,Web Development,44.83
2024.83,Marketing,43.4
2024.83,Virtual Assistant,27.48
2024.83,Data Analysis,40.54
2024.83,UX/UI Design,42.89
2024.92,Graphic Design,31.79
2024.92,Writing,29.91
2024.92,Video Editing,34.89
2024.92,Voiceover,35.21
2024.92,Web Development,44.81
2024.92,Marketing,43.72
2024.92,Virtual Assistant,27.66
2024.92,Data Analysis,40.76
2024.92,UX/UI Design,43.15
2025.0,Graphic Design,31.36
2025.0,Writing,29.49
2025.0,Video Editing,34.99
2025.0,Voiceover,35.46
2025.0,Web Development,44.79
2025.0,Marketing,44.03
2025.0,Virtual Assistant,27.84
2025.0,Data Analysis,40.97
2025.0,UX/UI Design,43.41
